num_people|bikini/apparel|is_male|faces_visible|sale|edited|butt_pic|ocean|skate|drift_content|product_shot|lifestyle|in_shop|pro\model|in_nature|surf|url
0|b|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BULS9yDlJQC/?taken-by=thedriftcollective
1|b|0|0|0|0|0|0|0|0|0|1|0|1|1|0|https://www.instagram.com/p/BUKhF7LlrtT/?taken-by=thedriftcollective
1|a|1|0|0|0|0|0|1|1|0|1|0|0|0|0|https://www.instagram.com/p/BUH-ovElXt7/?taken-by=thedriftcollective
1|a|0|1|0|0|0|1|0|1|0|1|0|0|0|0|https://www.instagram.com/p/BUFY9bIlFAZ/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BUDEOnXFrE0/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BT-RmhllEi6/?taken-by=thedriftcollective
1|b|0|0|0|0|1|1|0|0|1|1|0|1|1|0|https://www.instagram.com/p/BT9nrTIlNeQ/?taken-by=thedriftcollective
1|a|0|0|0|0|0|1|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BT7wGV0le9s/?taken-by=thedriftcollective
2|a|0|1|0|0|0|0|0|1|0|1|0|0|0|0|https://www.instagram.com/p/BT6bzvslfvG/?taken-by=thedriftcollective
1|b|0|1|0|0|0|0|0|0|1|1|0|1|0|0|https://www.instagram.com/p/BT4cYuBF_sZ/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|0|0|0|0|0|0|0|https://www.instagram.com/p/BT2d2QxlDKk/?taken-by=thedriftcollective
1|a|1|0|0|0|0|0|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BT1jYL-FIYH/?taken-by=thedriftcollective
0|a|1|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BTzFH6vFt40/?taken-by=thedriftcollective
1|a|1|1|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BTwak1yFRmK/?taken-by=thedriftcollective
0|b|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BTuO6Fil0To/?taken-by=thedriftcollective
1|d|1|0|0|0|0|1|0|1|0|1|0|0|1|1|https://www.instagram.com/p/BTt1-B2Fogf/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BTsYrmWFXsy/?taken-by=thedriftcollective
2|a|0|1|0|1|0|0|0|1|0|1|1|0|0|0|https://www.instagram.com/p/BTorjUUl4ys/?taken-by=thedriftcollective
